"<b> When you create a new, blank presentation, you begin with one blank slide. What is the layout name of this slide?</b><br><ul><li>Blank</li><li>Title slide</li><li>Title and Content</li><li>Title Onty</li></ul>",Title slide
"<b> What do you use to align objects on a slide to one another?</b><br><ul><li>Layout tools</li><li>Arrange tools</li><li>Design Ideas feature</li><li>Picture tools`In MS PP 2019 it's called ""Drawing Tools"". There is no such answer but there is a function called ""Arrange""`<br></li></ul>",Arrange tools
<b> Which option must be enabled if you want to manipulate the playback of a video file during a presentation?</b><br><ul><li>Record Side Show</li><li>Use Presenter View</li><li>Show Playback Controls</li><li>Show Media Controls</li></ul>,Show Media Controls
<b> Which feature analyzes the content of your slides and offers suggested options?</b><br><ul><li>Design ideas</li><li>Smartart</li><li>Browse for Themes</li><li>Add-Ins</li></ul>,Design ideas
<b> Where can you configure advanced PDF options?</b><br><ul><li>the Options tab</li><li>the Home tab</li><li>the Print dialog box</li><li>the Share tab`Should be in the printer window not in the options menu`<br></li></ul>,the Print dialog box
<b> Which tab is best for adding various types of objects to slides?</b><br><ul><li>Animations</li><li>view</li><li>File</li><li>Insert</li></ul>,Insert
<b> Which SmartArt category can you use to make informational graphics out of bullet points?</b><br><ul><li>all of these answers</li><li>Pyramid</li><li>List</li><li>Matrix</li></ul>,all of these answers
<b> What is NOT checked when you run the Accessibility Checker?</b><br><ul><li>reading order</li><li>slide titles</li><li>missing alt text</li><li>grammar</li></ul>,grammar<br><br>[Source](https://support.microsoft.com/en-us/office/rules-for-the-accessibility-checker-651e08f2-0fc3-4e10-aaca-74b4a67101c1?ns=powerpnt&version=16&ui=en-us&rs=en-us&ad=us)<br>
<b> How can you change the appearance of a table in one click?</b><br><ul><li>Apply a cell stye.</li><li>Apply a graphic style.</li><li>Apply a table style.</li><li>Right-click a table and choose a new style.`Table Tools -> Design Tab -> Table Styles`<br></li></ul>,Apply a table style.
<b> Which option changes a text box so that it automatically changes shape to fit longer text?</b><br><ul><li>Resize shape to fit text</li><li>Do not autofit</li><li>none of these answers</li><li>Shrink text on overflow</li></ul>,Resize shape to fit text
"<b> Which three shadow properties can be adjusted in PowerPoint?</b><br><br>```<br>A. Focal Point<br>B. Depth<br>C. Blur<br>D. Angle<br>E. Distance<br>```<br><br><ul><li>A, B, C</li><li>A, C, E</li><li>B, C, D</li><li>C, D, E</li></ul>","C, D, E"
"<b> You want your presentation to play continuously on screen, What option must you set?</b><br><ul><li>Use Presenter view</li><li>Advance slides manually</li><li>Advance slides automatically</li><li>Loop continuously until 'Esc'`Slide Show Tab -> Set Up Slide Show -> Show options -> Loop continuously until 'Esc'`<br></li></ul>",Loop continuously until 'Esc'`Slide Show Tab -> Set Up Slide Show -> Show options -> Loop continuously until 'Esc'`<br>
<b> Which statement about the Compress Pictures command is true?</b><br><ul><li>You can compress all images at the same time.</li><li>You cannot delete cropped areas.</li><li>There are no options for print output.</li><li>You can compress only one image at a time.</li></ul>,You can compress all images at the same time.
"<b> You have a Word document you would like to import as an outline into a PowerPoint presentation. How should you format the text in your Word document that you want to be the slide content?</b><br><ul><li>Heading Style 2</li><li>Subtitle</li><li>Content Style</li><li>List 2```<br>Highlight the content you want to use as a slide title, and select Heading 1 in Styles.<br>Highlight the content you want to use as the slide text, and select Heading 2 in Styles.<br>If your Word document contains no Heading 1 or Heading 2 styles, PowerPoint will create a slide for each paragraph in your content.<br>```<br></li></ul>",Heading Style 2
<b> In what manner can you filter comments?</b><br><ul><li>by length</li><li>by author</li><li>by date</li><li>by urgency</li></ul>,by author
