"<b> What is an abstract class?</b><br><ul><li>An abstract class is the name for any class from which you can instantiate an object.</li><li>Abstract classes must be redefined any time an object is instantiated from them.</li><li>Abstract classes must inherit from concrete classes.</li><li>An abstract class exists only so that other ""concrete"" classes can inherit from the abstract class.</li></ul>","An abstract class exists only so that other ""concrete"" classes can inherit from the abstract class.<br><br>[reference](https://www.geeksforgeeks.org/abstract-classes-in-python/)<br>"
"<b> What happens when you use the build-in function `any()` on a list?</b><br><ul><li>The `any()` function will randomly return any item from the list.</li><li>The `any()` function returns True if any item in the list evaluates to True. Otherwise, it returns False.</li><li>The `any()` function takes as arguments the list to check inside, and the item to check for. If ""any"" of the items in the list match the item to check for, the function returns True.</li><li>The `any()` function returns a Boolean value that answers the question ""Are there any items in this list?""</li></ul>","The `any()` function returns True if any item in the list evaluates to True. Otherwise, it returns False.<br><br>**example**<br>```python<br>if any([True, False, False, False]) == True:<br>print('Yes, there is True')<br>>>> 'Yes, there is True'<br>```<br>"
<b> What data structure does a binary tree degenerate to if it isn't balanced properly?</b><br><ul><li>linked list</li><li>queue</li><li>set</li><li>OrderedDict</li></ul>,linked list
"<b> What statement about static methods is true?</b><br><ul><li>Static methods are called static because they always return `None`.</li><li>Static methods can be bound to either a class or an instance of a class.</li><li>Static methods serve mostly as utility methods or helper methods, since they can't access or modify a class's state.</li><li>Static methods can access and modify the state of a class or an instance of a class.</li></ul>","Static methods serve mostly as utility methods or helper methods, since they can't access or modify a class's state.<br><br>[reference](https://www.geeksforgeeks.org/class-method-vs-static-method-python)<br>"
"<b> What are attributes?</b><br><ul><li>Attributes are long-form version of an `if/else` statement, used when testing for equality between objects.</li><li>Attributes are a way to hold data or describe a state for a class or an instance of a class.</li><li>Attributes are strings that describe characteristics of a class.</li><li>Function arguments are called ""attributes"" in the context of class methods and instance methods.</li></ul>","Attributes are a way to hold data or describe a state for a class or an instance of a class.<br><br>**Explanation**<br>Attributes defined under the class, arguments goes under the functions. arguments usually refer as parameter, whereas attributes are the constructor of the class or an instance of a class.<br>"
"<b> What is the term to describe this code?</b><br><br>`count, fruit, price = (2, 'apple', 3.5)`<br><br><ul><li>`tuple assignment`</li><li>`tuple unpacking`</li><li>`tuple matching`</li><li>`tuple duplication`</li></ul>",`tuple unpacking`
<b> What built-in list method would you use to remove items from a list?</b><br><ul><li>`.delete()` method</li><li>`pop(my_list)`</li><li>`del(my_list)`</li><li>`.pop()` method</li></ul>,"`.pop()` method<br><br>**example**<br>```python<br>my_list = [1,2,3]<br>my_list.pop(0)<br>my_list<br>>>>[2,3]<br>```<br>"
"<b> What is one of the most common use of Python's sys library?</b><br><ul><li>to capture command-line arguments given at a file's runtime</li><li>to connect various systems, such as connecting a web front end, an API service, a database, and a mobile app</li><li>to take a snapshot of all the packages and libraries in your virtual environment</li><li>to scan the health of your Python ecosystem while inside a virtual environment</li></ul>",to capture command-line arguments given at a file's runtime
"<b> What is the runtime of accessing a value in a dictionary by using its key?</b><br><ul><li>O(n), also called linear time.</li><li>O(log n), also called logarithmic time.</li><li>O(n^2), also called quadratic time.</li><li>O(1), also called constant time.</li></ul>","O(1), also called constant time."
"<b> What is the correct syntax for defining a class called Game, if it inherits from a parent class called LogicGame?</b><br><ul><li>`class Game(LogicGame): pass`</li><li>`def Game(LogicGame): pass`</li><li>`def Game.LogicGame(): pass`</li><li>`class Game.LogicGame(): pass`</li></ul>","`class Game(LogicGame): pass`<br><br>**Explanation:** `The parent class which is inherited is passed as an argument to the child class. Therefore, here the first option is the right answer.`<br>"
"<b> What is the correct way to write a doctest?</b><br><ul><li>A```python<br>def sum(a, b):<br>""""""<br>sum(4, 3)<br>7<br>sum(-4, 5)<br>1<br>""""""<br>return a + b<br>```<br></li><li>B```python<br>def sum(a, b):<br>""""""<br>>>> sum(4, 3)<br>7<br>>>> sum(-4, 5)<br>1<br>""""""<br>return a + b<br>```<br></li><li>C```python<br>def sum(a, b):<br>""""""<br># >>> sum(4, 3)<br># 7<br># >>> sum(-4, 5)<br># 1<br>""""""<br>return a + b<br>```<br></li><li>D```python<br>def sum(a, b):<br>###<br>>>> sum(4, 3)<br>7<br>>>> sum(-4, 5)<br>1<br>###<br>return a + b<br>```<br></li></ul>","B```python<br>def sum(a, b):<br>""""""<br>>>> sum(4, 3)<br>7<br>>>> sum(-4, 5)<br>1<br>""""""<br>return a + b<br>```<br><br><br>**Explanation** - use `'''` to start the doc and add output of the cell after `>>>`<br>"
<b> What built-in Python data type is commonly used to represent a stack?</b><br><ul><li>`set`</li><li>`list`</li><li>`None`</li><li>`dictionary`</li><li>`You can only build a stack from scratch.`</li></ul>,`list`
"<b> What would this expression return?</b><br><br>```python<br>college_years = ['Freshman', 'Sophomore', 'Junior', 'Senior']<br>return list(enumerate(college_years, 2019))<br>```<br><br><ul><li>`[('Freshman', 2019), ('Sophomore', 2020), ('Junior', 2021), ('Senior', 2022)]`</li><li>`[(2019, 2020, 2021, 2022), ('Freshman', 'Sophomore', 'Junior', 'Senior')]`</li><li>`[('Freshman', 'Sophomore', 'Junior', 'Senior'), (2019, 2020, 2021, 2022)]`</li><li>`[(2019, 'Freshman'), (2020, 'Sophomore'), (2021, 'Junior'), (2022, 'Senior')]`</li></ul>","`[(2019, 'Freshman'), (2020, 'Sophomore'), (2021, 'Junior'), (2022, 'Senior')]`"
"<b> What is the purpose of the ""self"" keyword when defining or calling instance methods?</b><br><ul><li>`self` means that no other arguments are required to be passed into the method.</li><li>There is no real purpose for the `self` method; it's just historic computer science jargon that Python keeps to stay consistent with other programming languages.</li><li>`self` refers to the instance whose method was called.</li><li>`self` refers to the class that was inherited from to create the object using `self`.</li></ul>","`self` refers to the instance whose method was called.<br><br>**Simple example**<br>```python<br>class my_secrets:<br>def __init__(self, password):<br>self.password = password<br>pass<br>instance = my_secrets('1234')<br>instance.password<br>>>>'1234'<br>```<br>"
"<b> Which of these is NOT a characteristic of namedtuples?</b><br><ul><li>You can assign a name to each of the `namedtuple` members and refer to them that way, similarly to how you would access keys in `dictionary`.</li><li>Each member of a namedtuple object can be indexed to directly, just like in a regular `tuple`.</li><li>`namedtuples` are just as memory efficient as regular `tuples`.</li><li>No import is needed to use `namedtuples` because they are available in the standard library.</li></ul>",No import is needed to use `namedtuples` because they are available in the standard library.<br><br>**We need to import it using**:`from collections import namedtuple`<br>
"<b> What is an instance method?</b><br><ul><li>Instance methods can modify the state of an instance or the state of its parent class.</li><li>Instance methods hold data related to the instance.</li><li>An instance method is any class method that doesn't take any arguments.</li><li>An instance method is a regular function that belongs to a class, but it must return `None`.</li></ul>",Instance methods can modify the state of an instance or the state of its parent class.
<b> Which statement does NOT describe the object-oriented programming concept of encapsulation?</b><br><ul><li>It protects the data from outside interference.</li><li>A parent class is encapsulated and no data from the parent class passes on to the child class.</li><li>It keeps data and the methods that can manipulate that data in one place.</li><li>It only allows the data to be changed by methods.</li></ul>,It only allows the data to be changed by methods.
"<b> What is the purpose of an if/else statement?</b><br><ul><li>It tells the computer which chunk of code to run if the instructions you coded are incorrect.</li><li>It runs one chunk of code if all the imports were successful, and another chunk of code if the imports were not successful.</li><li>It executes one chunk of code if a condition is true, but a different chunk of code if the condition is false.</li><li>It tells the computer which chunk of code to run if the is enough memory to handle it, and which chunk of code to run if there is not enough memory to handle it.</li></ul>","It executes one chunk of code if a condition is true, but a different chunk of code if the condition is false."
<b> What built-in Python data type is best suited for implementing a queue?</b><br><ul><li>dictionary</li><li>set</li><li>None. You can only build a queue from scratch.</li><li>list</li></ul>,list
<b> What is the correct syntax for instantiating a new object of the type Game?</b><br><ul><li>`my_game = class.Game()`</li><li>`my_game = class(Game)`</li><li>`my_game = Game()`</li><li>`my_game = Game.create()`</li></ul>,`my_game = Game()`
<b> What does the built-in `map()` function do?</b><br><ul><li>It creates a path from multiple values in an iterable to a single value.</li><li>It applies a function to each item in an iterable and returns the value of that function.</li><li>It converts a complex value type into simpler value types.</li><li>It creates a mapping between two different elements of different iterables.</li></ul>,"It applies a function to each item in an iterable and returns the value of that function.<br><br>**Explanation:** - The synax for `map()` function is `list(map(function,iterable))`. The simple area finder using map would be like this<br>```python<br>import math<br>radius = [1,2,3]<br>area = list(map(lambda x: round(math.pi*(x**2), 2), radius))<br>area<br>>>> [3.14, 12.57, 28.27]<br>```<br>"
"<b> If you don't explicitly return a value from a function, what happens?</b><br><ul><li>The function will return a RuntimeError if you don't return a value.</li><li>If the return keyword is absent, the function will return `None`.</li><li>If the return keyword is absent, the function will return `True`.</li><li>The function will enter an infinite loop because it won't know when to stop executing its code.</li></ul>","If the return keyword is absent, the function will return `None`."
"<b> What is the purpose of the `pass` statement in Python?</b><br><ul><li>It is used to skip the `yield` statement of a generator and return a value of None.</li><li>It is a null operation used mainly as a placeholder in functions, classes, etc.</li><li>It is used to pass control from one statement block to another.</li><li>It is used to skip the rest of a `while` or `for loop` and return to the start of the loop.</li></ul>","It is a null operation used mainly as a placeholder in functions, classes, etc."
<b> What is the term used to describe items that may be passed into a function?</b><br><ul><li>arguments</li><li>paradigms</li><li>attributes</li><li>decorators</li></ul>,arguments
<b> Which collection type is used to associate values with unique keys?</b><br><ul><li>`slot`</li><li>`dictionary`</li><li>`queue`</li><li>`sorted list`</li></ul>,`dictionary`
<b> When does a for loop stop iterating?</b><br><ul><li>when it encounters an infinite loop</li><li>when it encounters an if/else statement that contains a break keyword</li><li>when it has assessed each item in the iterable it is working on or a break keyword is encountered</li><li>when the runtime for the loop exceeds O(n^2)</li></ul>,when it has assessed each item in the iterable it is working on or a break keyword is encountered
"<b> Assuming the node is in a singly linked list, what is the runtime complexity of searching for a specific node within a singly linked list?</b><br><ul><li>The runtime is O(n) because in the worst case, the node you are searching for is the last node, and every node in the linked list must be visited.</li><li>The runtime is O(nk), with n representing the number of nodes and k representing the amount of time it takes to access each node in memory.</li><li>The runtime cannot be determined unless you know how many nodes are in the singly linked list.</li><li>The runtime is O(1) because you can index directly to a node in a singly linked list.</li></ul>","The runtime is O(n) because in the worst case, the node you are searching for is the last node, and every node in the linked list must be visited."
"<b> Given the following three list, how would you create a new list that matches the desired output printed below?</b><br><br>```python<br>fruits = ['Apples', 'Oranges', 'Bananas']<br>quantities = [5, 3, 4]<br>prices = [1.50, 2.25, 0.89]<br>#Desired output<br>[('Apples', 5, 1.50),<br>('Oranges', 3, 2.25),<br>('Bananas', 4, 0.89)]<br>```<br><br><ul><li><br>```python<br>output = []<br>fruit_tuple_0 = (first[0], quantities[0], price[0])<br>output.append(fruit_tuple)<br>fruit_tuple_1 = (first[1], quantities[1], price[1])<br>output.append(fruit_tuple)<br>fruit_tuple_2 = (first[2], quantities[2], price[2])<br>output.append(fruit_tuple)<br>return output<br>```<br></li><li><br>```python<br>i = 0<br>output = []<br>for fruit in fruits:<br>temp_qty = quantities[i]<br>temp_price = prices[i]<br>output.append((fruit, temp_qty, temp_price))<br>i += 1<br>return output<br>```<br></li><li><br>```python<br>groceries = zip(fruits, quantities, prices)<br>return groceries<br>>>> [<br>('Apples', 5, 1.50),<br>('Oranges', 3, 2.25),<br>('Bananas', 4, 0.89)<br>]<br>```<br></li><li> <br>```python<br>i = 0<br>output = []<br>for fruit in fruits:<br>for qty in quantities:<br>for price in prices:<br>output.append((fruit, qty, price))<br>i += 1<br>return output<br>```<br></li></ul>","<br>```python<br>i = 0<br>output = []<br>for fruit in fruits:<br>temp_qty = quantities[i]<br>temp_price = prices[i]<br>output.append((fruit, temp_qty, temp_price))<br>i += 1<br>return output<br>```<br>"
"<b> What happens when you use the built-in function all() on a list?</b><br><ul><li>The `all()` function returns a Boolean value that answers the question ""Are all the items in this list the same?</li><li>The `all()` function returns True if all the items in the list can be converted to strings. Otherwise, it returns False.</li><li>The `all()` function will return all the values in the list.</li><li>The `all()` function returns True if all items in the list evaluate to True. Otherwise, it returns False.</li></ul>","The `all()` function returns True if all items in the list evaluate to True. Otherwise, it returns False.<br><br>**Explanation** - `all()` returns true if all in the list are True, see example below<br>```python<br>test = [True,False,False,False]<br>if all(test) is True:<br>print('Yeah all are True')<br>else:<br>print('There is an imposter')<br>>>> 'There is an imposter'<br>```<br>"
<b> What is the correct syntax for calling an instance method on a class named Game?</b><br><br>_(Answer format may vary. Game and roll (or dice_roll) should each be called with no parameters.)_<br><br><ul><li><br>```python<br>>>> dice = Game()<br>>>> dice.roll()<br>```<br></li><li><br>```python<br>>>> dice = Game(self)<br>>>> dice.roll(self)<br>```<br></li><li><br>```python<br>>>> dice = Game()<br>>>> dice.roll(self)<br>```<br></li><li><br>```python<br>>>> dice = Game(self)<br>>>> dice.roll()<br>```<br></li></ul>,<br>```python<br>>>> dice = Game()<br>>>> dice.roll()<br>```<br>
<b> What is the algorithmic paradigm of quick sort?</b><br><ul><li>backtracking</li><li>dynamic programming</li><li>decrease and conquer</li><li>divide and conquer</li></ul>,divide and conquer
"<b> What is runtime complexity of the list's built-in `.append()` method?</b><br><ul><li>O(1), also called constant time</li><li>O(log n), also called logarithmic time</li><li>O(n^2), also called quadratic time</li><li>O(n), also called linear time</li></ul>","O(1), also called constant time"
<b> What is key difference between a `set` and a `list`?</b><br><ul><li>A set is an ordered collection unique items. A list is an unordered collection of non-unique items.</li><li>Elements can be retrieved from a list but they cannot be retrieved from a set.</li><li>A set is an ordered collection of non-unique items. A list is an unordered collection of unique items.</li><li>A set is an unordered collection unique items. A list is an ordered collection of non-unique items.</li></ul>,A set is an unordered collection unique items. A list is an ordered collection of non-unique items.
"<b> What is the definition of abstraction as applied to object-oriented Python?</b><br><ul><li>Abstraction means that a different style of code can be used, since many details are already known to the program behind the scenes.</li><li>Abstraction means the implementation is hidden from the user, and only the relevant data or information is shown.</li><li>Abstraction means that the data and the functionality of a class are combined into one entity.</li><li>Abstraction means that a class can inherit from more than one parent class.</li></ul>","Abstraction means the implementation is hidden from the user, and only the relevant data or information is shown."
"<b> What does this function print?</b><br><br>```python<br>def print_alpha_nums(abc_list, num_list):<br>for char in abc_list:<br>for num in num_list:<br>print(char, num)<br>return<br>print_alpha_nums(['a', 'b', 'c'], [1, 2, 3])<br>```<br><br><ul><li><br>```python<br>a 1<br>a 2<br>a 3<br>b 1<br>b 2<br>b 3<br>c 1<br>c 2<br>c 3<br>```<br></li><li><br>```python<br>['a', 'b', 'c'], [1, 2, 3]<br>```<br></li><li><br>```python<br>aaa<br>bbb<br>ccc<br>111<br>222<br>333<br>```<br></li><li><br>```python<br>a 1 2 3<br>b 1 2 3<br>c 1 2 3<br>```<br></li></ul>",<br>```python<br>a 1<br>a 2<br>a 3<br>b 1<br>b 2<br>b 3<br>c 1<br>c 2<br>c 3<br>```<br>
"<b> Pick correct representation of doctest for function in Python.</b><br><ul><li><br>```python<br>def sum(a, b):<br># a = 1<br># b = 2<br># sum(a, b) = 3<br>return a + b<br>```<br></li><li><br>```python<br>def sum(a, b):<br>""""""<br>a = 1<br>b = 2<br>sum(a, b) = 3<br>""""""<br>return a + b<br>```<br></li><li><br>```python<br>def sum(a, b):<br>""""""<br>>>> a = 1<br>>>> b = 2<br>>>> sum(a, b)<br>3<br>""""""<br>return a + b<br>```<br></li><li><br>```python<br>def sum(a, b):<br>'''<br>a = 1<br>b = 2<br>sum(a, b) = 3<br>'''<br>return a + b<br>```<br></li></ul>","<br>```python<br>def sum(a, b):<br>""""""<br>>>> a = 1<br>>>> b = 2<br>>>> sum(a, b)<br>3<br>""""""<br>return a + b<br>```<br><br><br>**Explanation:** Use `""""""` to start and end the docstring and use `>>>` to represent the output. If you write this correctly you can also run the doctest using build-in doctest module<br>"
"<b> Suppose a Game class inherits from two parent classes: BoardGame and LogicGame. Which statement is true about the methods of an object instantiated from the Game class?</b><br><ul><li>When instantiating an object, the object doesn't inherit any of the parent class's methods.</li><li>When instantiating an object, the object will inherit the methods of whichever parent class has more methods.</li><li>When instantiating an object, the programmer must specify which parent class to inherit methods from.</li><li>An instance of the Game class will inherit whatever methods the BoardGame and LogicGame classes have.</li></ul>",An instance of the Game class will inherit whatever methods the BoardGame and LogicGame classes have.
<b> What does calling namedtuple on a collection type return?</b><br><ul><li>a generic object class with iterable parameter fields</li><li>a generic object class with non-iterable named fields</li><li>a tuple subclass with non-iterable parameter fields</li><li>a tuple subclass with iterable named fields</li></ul>,"a tuple subclass with iterable named fields<br><br>**Example**<br>```python<br>import math<br>radius = [1,2,3]<br>area = list(map(lambda x: round(math.pi*(x**2), 2), radius))<br>area<br>>>> [3.14, 12.57, 28.27]<br>```<br>"
<b> What symbol(s) do you use to assess equality between two elements?</b><br><ul><li>`&&`</li><li>`=`</li><li>`==`</li><li>`||`</li></ul>,`==`
"<b> Review the code below. What is the correct syntax for changing the price to </b><br><br>```python<br>fruit_info = {<br>'fruit': 'apple',<br>'count': 2,<br>'price': 3.5<br>}<br>```<br><br><ul><li>`fruit_info ['price'] = 1.5`</li><li>`my_list [3.5] = 1.5`</li><li>`1.5 = fruit_info ['price]`</li><li>`my_list['price'] == 1.5`</li></ul>",`fruit_info ['price'] = 1.5`
<b> What value would be returned by this check for equality?</b><br><br>`5 != 6`<br><br><ul><li>`yes`</li><li>`False`</li><li>`True`</li><li>`None`</li></ul>,`True`<br><br>**Explanation** - `!=` is equivalent to **not equal to** in python<br>
"<b> What does a class's `__init__()` method do?</b><br><ul><li>It makes classes aware of each other if more than one class is defined in a single code file.</li><li>It is included to preserve backwards compatibility from Python 3 to Python 2, but no longer needs to be used in Python 3.</li><li>It is a method that acts as a constructor and is called automatically whenever a new object is created from a class. It sets the initial state of a new object.</li><li>It initializes any imports you may have included at the top of your file.</li></ul>",It is a method that acts as a constructor and is called automatically whenever a new object is created from a class. It sets the initial state of a new object.<br><br>**Example:**<br>```python<br>class test:<br>def __init__(self):<br>print('I came here without your permission lol')<br>pass<br>t1 = test()<br>>>> 'I came here without your permission lol'<br>```<br>
"<b> What is meant by the phrase ""space complexity""?</b><br><ul><li>`How many microprocessors it would take to run your code in less than one second`</li><li>`How many lines of code are in your code file`</li><li>`The amount of space taken up in memory as a function of the input size`</li><li>`How many copies of the code file could fit in 1 GB of memory`</li></ul>",`The amount of space taken up in memory as a function of the input size`
"<b> What is the correct syntax for creating a variable that is bound to a dictionary?</b><br><ul><li>`fruit_info = {'fruit': 'apple', 'count': 2, 'price': 3.5}`</li><li>`fruit_info =('fruit': 'apple', 'count': 2,'price': 3.5 ).dict()`</li><li>`fruit_info = ['fruit': 'apple', 'count': 2,'price': 3.5 ].dict()`</li><li>`fruit_info = to_dict('fruit': 'apple', 'count': 2, 'price': 3.5)`</li></ul>","`fruit_info = {'fruit': 'apple', 'count': 2, 'price': 3.5}`"
"<b> What is the proper way to write a list comprehension that represents all the keys in this dictionary?</b><br><br>`fruits = {'Apples': 5, 'Oranges': 3, 'Bananas': 4}`<br><br><ul><li>`fruit_names = [x in fruits.keys() for x]`</li><li>`fruit_names = for x in fruits.keys() *`</li><li>`fruit_names = [x for x in fruits.keys()]`</li><li>`fruit_names = x for x in fruits.keys()`</li></ul>",`fruit_names = [x for x in fruits.keys()]`
<b> What is the purpose of the `self` keyword when defining or calling methods on an instance of an object?</b><br><ul><li>`self` refers to the class that was inherited from to create the object using `self`.</li><li>There is no real purpose for the `self` method. It's just legacy computer science jargon that Python keeps to stay consistent with other programming languages.</li><li>`self` means that no other arguments are required to be passed into the method.</li><li>`self` refers to the instance whose method was called.</li></ul>,"`self` refers to the instance whose method was called.<br><br>**Explanation:** - Try running the example of the Q42 without passing `self` argument inside the `__init__`, you'll understand the reason. You'll get the error like this `__init__() takes 0 positional arguments but 1 was given`, this means that something is going inside even if haven't specified, which is instance itself.<br>"
"<b> What statement about the class methods is true?</b><br><ul><li>A class method is a regular function that belongs to a class, but it must return None.</li><li>A class method can modify the state of the class, but they can't directly modify the state of an instance that inherits from that class.</li><li>A class method is similar to a regular function, but a class method doesn't take any arguments.</li><li>A class method hold all of the data for a particular class.</li></ul>","A class method can modify the state of the class, but they can't directly modify the state of an instance that inherits from that class."
<b> What does it mean for a function to have linear runtime?</b><br><ul><li>You did not use very many advanced computer programming concepts in your code.</li><li>The difficulty level your code is written at is not that high.</li><li>It will take your program less than half a second to run.</li><li>The amount of time it takes the function to complete grows linearly as the input size increases.</li></ul>,The amount of time it takes the function to complete grows linearly as the input size increases.
<b> What is the proper way to define a function?</b><br><ul><li>`def getMaxNum(list_of_nums): # body of function goes here`</li><li>`func get_max_num(list_of_nums): # body of function goes here`</li><li>`func getMaxNum(list_of_nums): # body of function goes here`</li><li>`def get_max_num(list_of_nums): # body of function goes here`</li></ul>,`def get_max_num(list_of_nums): # body of function goes here`<br><br>[explanation for 52 & 53](https://www.python.org/dev/peps/pep-0008/)<br>
<b> According to the PEP </b><br><ul><li>in camel case without using underscores to separate words -- e.g. `maxValue = 255`</li><li>in lowercase with underscores to separate words -- e.g. `max_value = 255`</li><li>in all caps with underscores separating words -- e.g. `MAX_VALUE = 255`</li><li>in mixed case without using underscores to separate words -- e.g. `MaxValue = 255`</li></ul>,in all caps with underscores separating words -- e.g. `MAX_VALUE = 255`
"<b> Describe the functionality of a deque.</b><br><ul><li>A deque adds items to one side and remove items from the other side.</li><li>A deque adds items to either or both sides, but only removes items from the top.</li><li>A deque adds items at either or both ends, and remove items at either or both ends.</li><li>A deque adds items only to the top, but remove from either or both sides.</li></ul>","A deque adds items at either or both ends, and remove items at either or both ends.<br><br>**Explanation** - `deque` is used to create block chanin and in that there is _first in first out_ approch, which means the last element to enter will be the first to leave.<br>"
"<b> What is the correct syntax for creating a variable that is bound to a set?</b><br><ul><li>`my_set = {0, 'apple', 3.5}`</li><li>`my_set = to_set(0, 'apple', 3.5)`</li><li>`my_set = (0, 'apple', 3.5).to_set()`</li><li>`my_set = (0, 'apple', 3.5).set()`</li></ul>","`my_set = {0, 'apple', 3.5}`"
