"<b> You open a nested sequence in order to trim the length of a clip. You make the total duration of the clips longer. What happens to the duration of the nest in the main sequence?</b><br><ul><li>Nothing, the nest duration remains the same in the original sequence.</li><li>The duration of the nest changes and an overwrite edit pushes the remaining clips to make room.</li><li>The clips change speed to match the duration of the nest.</li><li>The duration of the nest changes and a ripple edit pushes the remaining clips to make room.</li></ul>","Nothing, the nest duration remains the same in the original sequence."
"<b> What is a good reason to use a nested sequence?</b><br><ul><li>Nesting improves playback performance.</li><li>Nesting makes it easier to reduce clutter in the Project panel, saving time and potentially project budget.</li><li>Nesting allows a single effect to be applied to everything that is inside the nest, like a color correction or a video limiter.</li><li>Nesting helps Adobe Premiere Pro render faster.</li></ul>","Nesting allows a single effect to be applied to everything that is inside the nest, like a color correction or a video limiter."
"<b> What happens on your hard drive when you create a subclip?</b><br><ul><li>Nothing, since a subclip does not create a new media file on your hard drive.</li><li>A pointer file is created on your hard drive.</li><li>A new master clip is created on your hard drive and added to the project.</li><li>A new media file is created next to the original media.</li></ul>","Nothing, since a subclip does not create a new media file on your hard drive."
"<b> Which statement is _false_ regarding exporting media from Adobe Premiere Pro?</b><br><ul><li>Adobe Premiere can directly export files.</li><li>You can encode sequences into one or more formats with Adobe Media Encoder.</li><li>While using Adobe Media Encoder, you can keep working on the same sequence in Adobe Premiere Pro.</li><li>When you click Export, Adobe Premiere Pro will encode the file in the background and let you continue editing.</li></ul>","When you click Export, Adobe Premiere Pro will encode the file in the background and let you continue editing."
"<b> While working in Premiere Pro, how can you quickly create a new After Effects composition with settings that match the current sequence?</b><br><ul><li>Select File > Adobe Dynamic Link > Import After Effects Composition.</li><li>Import a project from After Effects and choose Match project size when importing.</li><li>Select File > Adobe Dynamic Link > New After Effects Composition.</li><li>Switch to After Effects and manually set up the project for accuracy.</li></ul>",Select File > Adobe Dynamic Link > New After Effects Composition.
<b> Which is NOT a tag available in the Essential Sound panel?</b><br><ul><li>Narration</li><li>SFX</li><li>Ambience</li><li>Music</li></ul>,Narration
"<b> HSL secondary color correction allows you to adjust which of the following? (Select three items.)</b><br><br>```markdown<br>A. Clarity<br>B. Contrast<br>C. Saturation<br>D. Temperature<br>E. Blur<br>```<br><br><ul><li>B, C, D</li><li>A, B, C</li><li>B, D, E</li><li>A, C, E</li></ul>","B, C, D"
<b> What is the only panel in which the Rate Stretch tool can modify a clip?</b><br><ul><li>Program Monitor panel</li><li>Source Monitor panel</li><li>Timeline panel</li><li>Media Browser panel</li></ul>,Timeline panel
"<b> What can you do to make the shape layer automatically adjust size as the text layer changes?</b><br><br><img src=""001.png""><br><br><ul><li>Select the Mask with Shape option.</li><li>Select Responsive Design and Pin To the text layer.</li><li>Select Responsive Design and Pin To the Video Frame.</li><li>Use the Align and Transform controls.</li></ul>",Select the Mask with Shape option.
<b> In which panel do you assemble media in order to create sequence?</b><br><ul><li>Timeline panel</li><li>Media Browser panel</li><li>Capture panel</li><li>Source Monitor panel</li></ul>,Source Monitor panel
