<b> Which statement is not an advantage of robotic process automation (RPA)?</b><br><ul><li>Bots are more creative than humans</li><li>Bots do no need to take time off</li><li>Bots improve efficiency</li><li>Bots can eliminate human errors</li></ul>,Bots are more creative than humans
<b> What effect does a contra asset account have on a balance sheet?</b><br><ul><li>A contra asset is not an accounting term</li><li>A contra asset has a credit balance and therefore a negative effect on total assets</li><li>A contra asset with a positive balance will increase overall liabilities</li><li>A contra asset has a debit balance and therefore a positive effect on total assets</li></ul>,A contra asset has a credit balance and therefore a negative effect on total assets
"<b> Internal controls may be preventative, detective, corrective, or directive. Which is a detective control?</b><br><ul><li>data backups</li><li>physical inventory check</li><li>employee background checks</li><li>physical locks on inventory warehouse</li></ul>",physical inventory check
<b> On March </b><br><ul><li>April</li><li>March</li><li>no record required</li><li>February</li></ul>,February
<b> Which choice is a general guideline for adequate separation of duties to prevent both fraud and error?</b><br><ul><li>A person who has control over an asset should not safeguard that asset.</li><li>A person who has temporary or permanent custody of an asset should not account for that asset.</li><li>A person who has record-keeping responsibility should not make journal entries.</li><li>A person who has operational responsibility should not authorize transactions for the area.</li></ul>,A person who has record-keeping responsibility should not make journal entries.
"<b> What does the cost of a unit of product under absorption costing method consist of?</b><br><ul><li>direct materials, direct and indirect labor, and fixed overhead</li><li>direct materials, indirect labor, and variable and fixed overhead</li><li>direct materials, direct labor, and both variable and fixed overhead</li><li>direct materials, direct and indirect labor, and variable overhead</li></ul>","direct materials, direct labor, and both variable and fixed overhead"
"<b> Which answer best describes accruals and deferrals?</b><br><ul><li>Accruals are past cash receipts and payments, while deferrals are expected future cash receipts and payments.</li><li>Both accruals and deferrals are both expected future cash receipts and payments.</li><li>Accruals are expected future cash receipts and payments, while deferrals are past cash receipts and payments.</li><li>Both accruals and deferrals are not expected past cash receipts and payments.</li></ul>","Accruals are expected future cash receipts and payments, while deferrals are past cash receipts and payments."
<b> What do you call a situation where more than one person collaborates to circumvent existing internal controls?</b><br><ul><li>assigned responsibility</li><li>segregation of duties</li><li>fraud prevention</li><li>collusion</li></ul>,collusion
"<b> Which is not an example of an internal control activity?</b><br><ul><li>review of manufacturing plan</li><li>segregation of duties</li><li>bank reconciliations</li><li>approval process[source] `'MT: bank recons are a internal control, checking to see if figures match. Approval by different level of authorities help to prevent unathorized transactions - so its a control too. segregate duties also ensures that.`<br></li></ul>",review of manufacturing plan
<b> Which budgeting approach request justification of all expenditures?</b><br><ul><li>zero-based budgeting</li><li>master budgeting</li><li>rolling budgets</li><li>bottom-up budgeting</li></ul>,zero-based budgeting
<b> What does the discontinued operations section of the income statement refer to?</b><br><ul><li>disposal of a major product line or major geographical area of operations</li><li>sale of unused or obsolete equipment and discontinued inventory</li><li>plant shutdown or decommissioning of a facility</li><li>net income or loss for products completed and sold</li></ul>,disposal of a major product line or major geographical area of operations
"<b> How are the three financial statements (income statement, balance sheet, and cash flow statement) linked?</b><br><ul><li>Only the assets are reflected in the cash flow statement, and the net income expenses correlate with the liabilities.</li><li>The net income goes to retained earnings, but the cash flow remains independent.</li><li>The gross profit goes to retained earning, and the shareholder equity total is added to the cash flow statement</li><li>The net income goes to the retained earning and to the cash flow statement[source]`'MT: odd qns. But it should be net profit ""npat"" flows to retained earnings, and also starts the cashflow statement (so all linked and not independent). Assets are in balance sheet, net income is in income statement. npat goes to retained earnings, not gross profit.`<br></li></ul>","The net income goes to the retained earning and to the cash flow statement[source]`'MT: odd qns. But it should be net profit ""npat"" flows to retained earnings, and also starts the cashflow statement (so all linked and not independent). Assets are in balance sheet, net income is in income statement. npat goes to retained earnings, not gross profit.`<br>"
<b> Which is not one of the four perspectives of the balanced scorecard?</b><br><ul><li>internal business</li><li>learning and growth</li><li>quantitative</li><li>customer</li></ul>,quantitative
<b> What would be deducted from the balance per books when doing a bank reconciliation?</b><br><ul><li>deposits in transit</li><li>bank service fees</li><li>outstanding checks</li><li>electronic fund transfers/payments</li></ul>,outstanding checks
<b> What situation could be the results of the three retails store employees sharing the same cash register?</b><br><ul><li>a thorough internal control activity</li><li>a violation of assignment of responsibility</li><li>a violation of segregation of duties</li><li>a support process to avoid fraud</li></ul>,a violation of assignment of responsibility
<b> A firm has $</b><br><ul><li>3</li><li>2</li><li>0.5</li><li>0.33</li></ul>,0.33
"<b> An external auditor is required to be independent when performing</b><br><ul><li>all attestation services</li><li>all professional services (wrong ans, includes consulting)</li><li>all tax services</li><li>all consulting engagements (wrong ans)</li></ul>","all attestation services<br><br>[Reference](https://www.ispartnersllc.com/blog/defining-attestation-assurance-auditing/)<br>`'MT: tough qns, ambiguous options. Attest = validate audit data gathered. Consulting is less regulatory/ restrictive, = how to increase pie sales, versus audit/attestation = why you reported more pies in your fridge than we observed. Tax is grey, usually has to be internal audt committee approved or fees disclosed etc. but there are exceptions.'`<br>"
"<b> Proper segregation of functional responsibilities calls for separation of</b><br><ul><li>custody, payment, and recording</li><li>authorization, custody, and execution</li><li>authorization, custody, and recording</li><li>custody, execution, and payment</li></ul>","authorization, custody, and recording<br><br>[Reference](https://oacp.upenn.edu/audit/audit101/internal-controls-guidance/operational-internal-controls/)<br>"
"<b> What does the degree of operating leverage represent?</b><br><ul><li>how much the value of capital assets will change in response to a change in sales</li><li>how much the operating income of a company will change in response to a change in sales</li><li>the valuation of assets to determine how much additional debt the company can borrow</li><li>how much the sales of a company will change in response to a change in operating income[Reference]`'High operating leverage means a firm has a relatively fixed, and usually high cost base. So additional sales would incrementally drive more profits because those sales do not need to incur more costs to generate (like a factory, versus factory workers)'`<br></li></ul>",how much the operating income of a company will change in response to a change in sales
"<b> Which characteristic would concern an auditor about the risk of material misstatements arising from fraudulent financial reporting?</b><br><ul><li>limited employee turnover within the accounting and finance department</li><li>management's disregard of regulations and regulatory authorities</li><li>regularly reported bank reconciliations, including deposits in transit</li><li>capital assets sold at a loss before being depreciated fully[source]`'MT: regular bank recons and loyal employees are +ve. Nothing wrong with assets sold at lost before fully depreciated, like you can sell a plane at a loss even before it has been ""fully used"".`<br></li></ul>",management's disregard of regulations and regulatory authorities
"<b> An employee who makes a sale, ships the goods, and bills the customer violates which control activity?</b><br><ul><li>assignment of responsibility</li><li>audit verification</li><li>segregation of duties</li><li>review and reconciliation</li></ul>",segregation of duties<br><br>[Reference](https://oacp.upenn.edu/audit/audit101/internal-controls-guidance/operational-internal-controls/)<br>
