<b> From what distribution does the `rand()` function return value?</b><br><ul><li>normal</li><li>poisson</li><li>binomial</li><li>uniform</li></ul>,uniform
"<b> Based on the code below, c is the \_ of a.</b><br><br>```<br>a = rand(1, 11);<br>b = sort(a);<br>c = b(1, ceil(end/2));<br>```<br><br><ul><li>median</li><li>mode</li><li>mean</li><li>margin</li></ul>",median
<b> What does the Profiler track?</b><br><ul><li>execution time</li><li>command history</li><li>errors</li><li>the value of variables</li></ul>,execution time
<b> Which code block contains the correct syntax for a `while` loop?</b><br><br>- [ ]<br>```<br>a = 0;<br>do<br>a = a + 1;<br>while a < 5<br>end<br>```<br>- [ ]<br>```<br>a = 0;<br>while(a < 5)<br>a = a + 1;<br>```<br>- [ ]<br>```<br>a = 0;<br>while a < 5:<br>a = a + 1;<br>```<br>- [x]<br>```<br>a = 0;<br>while a < 5<br>a = a + 1;<br>end<br>```<br><br><ul></ul>,No answer found
<b> What does `b` contain?</b><br><br>```<br>a =<br>19    20    12     0     6<br>6     9    56     0     3<br>46     8     9     8    19<br>9     8     8    19    46<br>1     9    46     6    19<br>```<br>- [x]<br>```<br>b =<br>56     0<br>9     8<br>```<br>- [ ]<br>```<br>b =<br>8    19<br>19    46<br>```<br><br><ul></ul>,No answer found
<b> You have written a function `myfun` and want to measure how long it takes to run. Which code segment will return in `t` the time in seconds it takes `myfun` to run?</b><br><br>- [ ]<br>```<br>t = cputime(myfun());<br>```<br>- [x]<br>```<br>tic;<br>myfun();<br>toc;<br>```<br>- [ ]<br>```<br>timer.start;<br>myfun()<br>t = timer.stop;<br>```<br>- [ ]<br>```<br>t = timer(myfun());<br>```<br><br><ul></ul>,No answer found
<b> What is `%%` used for?</b><br><ul><li>argument placeholder</li><li>block quotes</li><li>code sections</li><li>conversion specifier</li></ul>,code sections
<b> what is the `.` character NOT used for?</b><br><ul><li>structure field access</li><li>a decimal point</li><li>cell array access</li><li>element-wise operations</li></ul>,cell array access
<b> Which function could you use for multiple linear regression?</b><br><ul><li>polyval</li><li>regress</li><li>solve</li><li>polyfit</li></ul>,regress
"<b> For which of these arrays do `mean`, `median`, and `mode` return the same value?</b><br><ul><li>[0 1 1 1 2]</li><li>[1 3 5 5 6]</li><li>[0 1 1 1 1]</li><li>[0 0 5 5 5]</li></ul>",[0 1 1 1 2]
"<b> You are in the middle of a long MATLAB session where you have performed many analyses and made many plots. You run the following commands, yet a figure window doesn't pop up on the top of your screen with your plot. What might be the issue?</b><br><br>```<br>x = [-1:0.1:1];<br>y = X.^2;<br>plot(x, y)<br>```<br><br><ul><li>Your plot doesn't plot in a figure window because `figure` was not called immediately in advance.</li><li>Your `plot` syntax is incorrect.</li><li>Your plot is in a figure window that was already open, hidden behind other windows on your screen.</li><li>Your plot was saved to an image file but not displayed.</li></ul>","Your plot is in a figure window that was already open, hidden behind other windows on your screen."
<b> How do you access the value for the field `name` in structure S?</b><br><ul><li>S['name']</li><li>S.name</li><li>S('name')</li><li>S{'name'}</li></ul>,S.name
<b> What built-in definition does i have?</b><br><ul><li>basic imaginary unit</li><li>index function</li><li>infinity</li><li>index variable</li></ul>,basic imaginary unit
"<b> Which statement is equivalent to this for loop?</b><br><br>```<br>a = [1 2 3; 4 5 6];<br>b = zeros(size(a));<br>for i_row = 1:size(a, 1)<br>for i_col = 1:size(a, 2)<br>b(i_row, i_col) = a(i_row, i_col)^2;<br>end<br>end<br>```<br><br><ul><li>b = a\*a;</li><li>b = a.^2;</li><li>b = a^2;</li><li>b = pow2(a);</li></ul>",b = a.^2;
"<b> You have plotted values of cosine from -</b><br><ul><li>xticks(-3*pi:3.14:3*pi)</li><li>xticks(-3*pi:pi:3*pi)</li><li>xticks(linespace(-3*pi(), 3*pi(), pi()))</li><li>xticks(linespace(-3*pi, 3*pi, pi)</li></ul>",xticks(-3*pi:pi:3*pi)
"<b> What is the value of `c`?</b><br><br>```<br>a = ones(1,3);<br>b = 1:3;<br>c = conv(a,b)<br>```<br><br><ul><li>[-1 2 -1]</li><li>[1 3 6 5 3]</li><li>6</li><li>[1 -2 1]</li></ul>",[1 3 6 5 3]
<b> Which function CANNOT be used to randomly sample data?</b><br><ul><li>datasample</li><li>randi</li><li>resample</li><li>randperm</li></ul>,resample
"<b> Which choice is correct syntax for a `switch` statement?</b><br><br>- [x]<br>```<br>x = 7;<br>switch x<br>case 2<br>disp(""two"");<br>otherwise<br>disp(""not two"");<br>end<br>```<br>- [ ]<br>```<br>x = 7;<br>switch x :<br>case 2<br>disp(""two"");<br>otherwise<br>disp(""not two"");<br>end<br>```<br>- [ ]<br>```<br>x = 7;<br>switch x<br>case 2<br>disp(""two"");<br>else<br>disp(""not two"");<br>end<br>```<br>- [ ]<br>```<br>x = 7;<br>switch x<br>case 2<br>disp(""two"");<br>default<br>disp(""not two"");<br>end<br>```<br><br><ul></ul>",No answer found
<b> What is the result of this code?</b><br><br>```<br>a = 1;<br>b = 2;<br>c = 3;<br>d = 4;<br>e = c / (~a - b == c - d);<br>```<br><br><ul><li>Error- [ ]<br>```<br>c =<br>NaN<br>```<br>- [x]<br>```<br>c =<br>Inf<br>```<br>- [ ]<br>```<br>c =<br>-0.2500<br>```<br></li></ul>,No answer found
"<b> What is true of a handle class object?</b><br><ul><li>When you pass a handle object to a function, a new object is made that is independent of the original.</li><li>All copies of handle objects refer to the same underlying object.</li><li>Handle object cannot reference one another.</li><li>Handle object do not have a default `eq` function.</li></ul>",All copies of handle objects refer to the same underlying object.
<b> Which choice has a different final result in `f</b><br><br>- [ ]<br>```<br>f10 = 1;<br>for i = 1:10<br>f10 = f10 * i;<br>end<br>```<br>- [ ]<br>`f10 = factorial(10)`<br>- [x]<br>```MATLAB<br>f10 = 1;<br>i = 1;<br>while i <= 10<br>i   = i + 1;<br>f10 = i * f10;<br>end<br>```<br>- [ ]<br>`f10 = prod(1:10)`<br><br><ul></ul>,No answer found
"<b> Which choice will NOT give you a </b><br><br>- [ ]<br>```<br>a = rand(5);<br>round(a * inv(a))<br>```<br>- [ ]<br>`diag(ones(5, 1))`<br>- [x]<br>`identity(5)`<br>- [ ]<br>`eye(5)`<br><br><ul></ul>",No answer found
"<b> Which statement creates this structure?</b><br><br>```<br>dog =<br>name: 'Bindy'<br>breed: 'border collie'<br>weight: 32<br>```<br>- [ ]<br>`dog = struct('name', 'Bindy'; 'breed', 'border collie'; 'weight', 32);`<br>- [x]<br>```<br>dog.name   = 'Bindy';<br>dog.breed  = 'border collie';<br>dog.weight = 32;<br>```<br>- [ ]<br>```<br>dog = {<br>'name'  : 'Bindy',<br>'breed' : 'border collie',<br>'weight': 32;<br>}<br>```<br>- [ ]<br>```<br>dog('name')   = 'Bindy';<br>dog('breed')  = 'border collie';<br>dog('weight') = 32;<br>```<br><br><ul></ul>",No answer found
<b> `my_func` is a function as follows. What is the value of `a` at the end of the code beneath?</b><br><br>```<br>function a = my_func(a)<br>a = a + 1;<br>end<br>------------------<br>a = 0;<br>for i = 1:3<br>my_func(a);<br>end<br>a = my_func(a);<br>```<br><br><ul><li>4</li><li>3</li><li>0</li><li>1</li></ul>,1
"<b> Which statement could create this cell array?</b><br><br>```<br>c =<br>{[""hello world""]}    {1×1 cell}    {[""goodbye""]}    {1×3 double}<br>```<br><br><ul><li>c = {""hello world"" {""hello""} ""goodbye"" [1 2 ]};</li><li>c = {""hello world"" {""hello""} ""goodbye"" {[1 2 3]}};</li><li>c = {""hello world"" {""hello""} ""goodbye"" [1 2 3]};</li><li>c = {""hello world"" {""hello"" ""hello""} ""goodbye"" {[1 2 3]}};</li></ul>","c = {""hello world"" {""hello""} ""goodbye"" [1 2 3]};"
"<b> Which choice adds `b` to each row of `a`?</b><br><br>```<br>a = ones(4, 4);<br>b= [1 2 3 4];<br>```<br><br><ul><li>a = a + reshape(b, 4, 1);</li><li>a = a + b';</li><li>a = a + repmat(b, 4, 1);</li><li>a = a + [b b b b];</li></ul>","a = a + repmat(b, 4, 1);"
