"<b> How can you track sick and vacation time in QuickBooks?</b><br><ul><li>Create two deductions called Sick and Vacation. Use these when you pay your employees.</li><li>You can't track sick and vacation time in QuickBooks. Create an Excel workbook and manually enter employee accruals and uses with each payroll.</li><li>Set up sick or vacation time as a wage item, then define how QuickBooks should accrue it when you set up your employees.</li><li>Set up a separate non-posting account for sick and vacation time, and then record sick and vacation time against that account.</li></ul>",No answer found
<b> You _cannot_ use the Enter Bills > Pay Bills approach to pay what type of bill?</b><br><ul><li>rent</li><li>accounting fees</li><li>legal services</li><li>sales taxes</li></ul>,sales taxes
"<b> What is the easiest way to set up multiple companies, with the same owner, in QuickBooks?</b><br><ul><li>Use the Advanced/Detailed Setup to go through the EasyStep Interview for the oldest company, then click File > Add Additional Business at the end of the interview.</li><li>Set up classes for each company within the parent company file. This will allow you to print financial statements for each company.</li><li>Purchase a separate QuickBooks license for each company. You will create different icons for each company on your desktop.</li><li>Use the Advanced/Detailed Setup to go through the EasyStep Interview for each company, creating a separate company file for each.</li></ul>",Set up classes for each company within the parent company file. This will allow you to print financial statements for each company.
<b> For whom can you create a password during the Advanced/Detailed Setup?</b><br><ul><li>the administrator</li><li>the external accountant</li><li>no users</li><li>all users</li></ul>,the administrator
"<b> In the case of a subscription or monthly fee, what does the batch invoicing process allow you to do?</b><br><ul><li>Provide invoices to customers when you are in the field and do not have access to the internet or software.</li><li>Create recurring invoices for the same customer that will repeat each month.</li><li>Prefill invoices to simplify the billing process for a bookkeeper or external billing service.</li><li>Set up multiple customers in a billing group, with the same invoice.</li></ul>",Create recurring invoices for the same customer that will repeat each month.
"<b> When initially setting up a company through the Advanced/Detailed Setup, which information does QuickBooks require you to enter?</b><br><ul><li>company name and Chart of Accounts</li><li>company name, tax ID, and administrator password</li><li>company name</li><li>company name and address</li></ul>",company name
<b> What does setting up fixed assets in QuickBooks enable you to do?</b><br><ul><li>Complete your depreciation schedule for tax purposes.</li><li>Pay for assets directly from the setup window.</li><li>Provide the buyer of the asset with proof of purchase.</li><li>Track larger purchases that you may later sell.</li></ul>,No answer found
"<b> When would the Expenses tab on a payroll liability check be used?</b><br><ul><li>to pay an employee's garnishment, such as child support</li><li>to correct the amount due if an error was detected in a payroll check</li><li>to add the cost of employee mileage to the payment</li><li>to enter late fees, penalties, or interest</li></ul>","to enter late fees, penalties, or interest"
<b> Why would you use the Items tab when entering a bill?</b><br><ul><li>to track freight charges separately from the expense account</li><li>to track expenses</li><li>to assign a cost to a job or to purchase an inventory item</li><li>to track creditshttps://www.chegg.com/homework-help/questions-and-answers/would-use-items-tab-entering-bill-track-freight-charges-separately-expense-account-b-track-q86659682<br></li></ul>,to track expenses
"<b> Why is it good practice to use the Bank Deposit screen to record sales not tracked to individual customers?</b><br><ul><li>It allows you to get customer level detail later.</li><li>It gets the cash into your checking account as quickly as possible.</li><li>It automates the deposit system, so you don't have to physically go to the bank to complete the deposit.</li><li>It allows you to record daily ""lump sum"" sales quickly and efficiently.</li></ul>","It allows you to record daily ""lump sum"" sales quickly and efficiently."
"<b> You are running your Profit and Loss report and notice it is on a cash basis rather than an accrual basis. How can you correct this to show the correct basis?</b><br><ul><li>You cannot change the basis for just one report.</li><li>Right-click the basis shown on the right side of the report and change it to Accrual.</li><li>Double-click the basis and change it to Accrual.</li><li>In the upper-left corner of the screen, select the Accrual button.</li></ul>",No answer found
"<b> Is it possible to merge two list entries?</b><br><ul><li>Yes. From the bottom of the list, click Activities > Combine List Name, and then select the list entries you would like to merge.</li><li>Yes. You can rename the unwanted list entry to match the name of the list entry you would like to merge into.</li><li>No. You can delete a list entry, but you cannot merge them.</li><li>No. You cannot combine or merge two list entries.</li></ul>","Yes. From the bottom of the list, click Activities > Combine List Name, and then select the list entries you would like to merge."
"<b> Can you delete a vendor whom you are no longer using from the list?</b><br><ul><li>You can never delete a vendor, but you can make them inactive.</li><li>Yes, Go to your Vendor Center, select the vendor you would like to delete, and click Edit > Delete.</li><li>You can delete the vendor only if they are not used in transactions or are part of another list entry, but you can make them inactive.</li><li>Yes. When you delete the vendor, a box appears asking if you are sure you want to delete. Click Yes and enter the administrator password to continue.</li></ul>",No answer found
"<b> Why is setting a closing date in QuickBooks a good practice?</b><br><ul><li>Sensitive data is safeguarded after the close date, since access is password protected.</li><li>After reports have been printed, changes cannot be made to transactions before the closing date without a password.</li><li>After the close date, only certain users are allowed to access data for reporting purposes.</li><li>It does not allow users to look at data after the period has closed.</li></ul>","After reports have been printed, changes cannot be made to transactions before the closing date without a password."
"<b> Why would you clear the Bill Received check box when entering a bill on the Enter Bills screen?</b><br><ul><li>You do not plan to pay the bill until closer to the due date.</li><li>You do not want to print the bill.</li><li>There is a discrepancy in the bill received and the amount you expected.</li><li>An inventory item has been received, but you have not received the corresponding bill.</li></ul>",No answer found
"<b> How do you record a debit card purchase in QuickBooks?</b><br><ul><li>Wait until you do the bank reconciliation and enter one journal entry for all of your debit card purchases.</li><li>Use the Enter Bills window to enter the information, then immediately go to the Pay Bills window and prepare the check. Print the check for your records, but you do not need to mail it.</li><li>Using the Write Checks window, in the No. field, type ""Debit."" Enter the vendor name and amount in the check area.</li><li>Prepare a journal entry to debit the expense account of the purchase and credit Cash.</li></ul>","Use the Enter Bills window to enter the information, then immediately go to the Pay Bills window and prepare the check. Print the check for your records, but you do not need to mail it."
<b> Which two accounts are typically affected by Payroll Items when using the Payroll feature?</b><br><ul><li>Payroll Liabilities and Payroll Accruals</li><li>Payroll Salary and Payroll Taxes</li><li>Payroll Liabilities and Payroll Expenses</li><li>Payroll Accruals and Payroll Taxes</li></ul>,Payroll Liabilities and Payroll Accruals
"<b> You are setting up QuickBooks for the first time for a company that was established in </b><br><ul><li>Enter ""January 1, 2001"", since the company has been in business since 2001.</li><li>You don't need to enter a start date. QuickBooks automatically assigned the start date when you created the company.</li><li>You don't need to enter a start date. QuickBooks will automatically assign it when you begin entering data.</li><li>The date on which you plan to begin using QuickBooks.</li></ul>",The date on which you plan to begin using QuickBooks.
<b> What feature lets customers know how long they have to pay you?</b><br><ul><li>Terms</li><li>Estimates</li><li>Delayed Charges</li><li>Classes</li></ul>,Terms
"<b> During the Advanced/Detailed Setup process, you notice there are some accounts you would like to add to your Chart of Accounts that are not on the default list. What is the easiest way to accomplish this?</b><br><ul><li>You are not able to add new accounts if you select the default Chart of Accounts.</li><li>Finish the interview and then add the accounts directly to the Chart of Accounts</li><li>Click Add New Account during the EasyStep Interview.</li><li>Click Edit Account during the EasyStep Interview.</li></ul>",Finish the interview and then add the accounts directly to the Chart of Accounts
