"<b> If you want to import just the Component from the React library, what syntax do you use?</b><br><ul><li>`import React.Component from 'react'`</li><li>`import [ Component ] from 'react'`</li><li>`import Component from 'react'`</li><li>`import { Component } from 'react'`</li></ul>",`import { Component } from 'react'`
"<b> If a function component should always render the same way given the same props, what is a simple performance optimization available for it?</b><br><ul><li>Wrap it in the `React.memo` higher-order component.</li><li>Implement the `useReducer` Hook.</li><li>Implement the `useMemo` Hook.</li><li>Implement the `shouldComponentUpdate` lifecycle method.</li></ul>",Wrap it in the `React.memo` higher-order component.
"<b> How do you fix the syntax error that results from running this code?</b><br><br>```javascript<br>const person =(firstName, lastName) =><br>{<br>first: firstName,<br>last: lastName<br>}<br>console.log(person(""Jill"", ""Wilson""))<br>```<br><br><ul><li>Wrap the object in parentheses.</li><li>Call the function from another file.</li><li>Add a return statement before the first curly brace.</li><li>Replace the object with an array.</li></ul>",Wrap the object in parentheses.
"<b> If you see the following import in a file, what is being used for state management in the component?</b><br><br>`import React, {useState} from 'react';`<br><br><ul><li>React Hooks</li><li>stateful components</li><li>math</li><li>class components</li></ul>",React Hooks
"<b> Using object literal enhancement, you can put values back into an object. When you log person to the console, what is the output?</b><br><br>```javascript<br>const name = 'Rachel';<br>const age = 31;<br>const person = { name, age };<br>console.log(person);<br>```<br><br><ul><li>`{{name: ""Rachel"", age: 31}}`</li><li>`{name: ""Rachel"", age: 31}`</li><li>`{person: ""Rachel"", person: 31}}`</li><li>`{person: {name: ""Rachel"", age: 31}}`</li></ul>","`{name: ""Rachel"", age: 31}`"
<b> What is the testing library most often associated with React?</b><br><ul><li>Mocha</li><li>Chai</li><li>Sinon</li><li>Jest</li></ul>,Jest<br><br>[Reference](https://jestjs.io)<br>
"<b> To get the first item from the array (""cooking"") using array destructuring, how do you adjust this line?</b><br><br>```javascript<br>const topics = ['cooking', 'art', 'history'];<br>```<br><br><ul><li>`const first = [""cooking"", ""art"", ""history""]`</li><li>`const [] = [""cooking"", ""art"", ""history""]`</li><li>`const [, first][""cooking"", ""art"", ""history""]`</li><li>`const [first] = [""cooking"", ""art"", ""history""]`</li></ul>","`const [first] = [""cooking"", ""art"", ""history""]`"
<b> How do you handle passing through the component tree without having to pass props down manually at every level?</b><br><ul><li>React Send</li><li>React Pinpoint</li><li>React Router</li><li>React Context</li></ul>,React Context<br><br>[Reference](https://reactjs.org/docs/context.html)<br>
"<b> What should the console read when the following code is run?</b><br><br>```javascript<br>const [, , animal] = ['Horse', 'Mouse', 'Cat'];<br>console.log(animal);<br>```<br><br><ul><li>Horse</li><li>Cat</li><li>Mouse</li><li>undefined</li></ul>",Cat
<b> What is the name of the tool used to take JSX and turn it into createElement calls?</b><br><ul><li>JSX Editor</li><li>ReactDOM</li><li>Browser Buddy</li><li>Babel</li></ul>,Babel
<b> Why might you use useReducer over useState in a React component?</b><br><ul><li>when you want to replace Redux</li><li>when you need to manage more complex state in an app</li><li>when you want to improve performance</li><li>when you want to break your production app</li></ul>,when you need to manage more complex state in an app
<b> Which props from the props object is available to the component with the following syntax?</b><br><br>```javascript<br><Message {...props} /><br>```<br><br><ul><li>any that have not changed</li><li>all of them</li><li>child props</li><li>any that have changed</li></ul>,all of them
"<b> Consider the following code from React Router. What do you call :id in the path prop?</b><br><br>```javascript<br><Route path=""/:id"" /><br>```<br><br><ul><li>This is a route modal</li><li>This is a route parameter</li><li>This is a route splitter</li><li>This is a route link</li></ul>",This is a route parameter
"<b> If you created a component called Dish and rendered it to the DOM, what type of element would be rendered?</b><br><br>```javascript<br>function Dish() {<br>return <h1>Mac and Cheese</h1>;<br>}<br>ReactDOM.render(<Dish />, document.getElementById('root'));<br>```<br><br><ul><li>`div`</li><li>section</li><li>component</li><li>`h1`</li></ul>",`h1`
